team_name,name,position,appearances,minutes_played,avg_rating,goals,assists,shots_total,shots_on_target,passes_total,passes_key,passes_accuracy_%,dribbles_attempts,dribbles_success,tackles,interceptions,blocks,duels_won,goals_saves,goals_conceded,penalty_saved,goals_per_90,assists_per_90,tackles_per_90,dribble_success_rate_%,duel_win_rate_%
Algeria,Alexandre Roger Oukidja -,Goalkeeper,15.0,1350.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Rayan Aït Nouri -,Defender,15.0,1350.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Ramy Bensebaini -,Defender,15.0,1350.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Aïssa Mandi -,Defender,15.0,1350.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Abdelkader Bedrane -,Defender,15.0,1350.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Riyad Mahrez -,Midfielder,15.0,1350.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Ismaël Bennacer -,Midfielder,15.0,1350.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Adem Zorgane -,Midfielder,15.0,1350.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Mohamed El Amine Amoura -,Attacker,15.0,1350.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Amine Ferid Gouiri -,Attacker,15.0,1350.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Rachid Ghezzal -,Attacker,15.0,1350.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,E. Martínez,Goalkeeper,9.0,840.0,7.26,0.0,0.0,0.0,0.0,253.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,14.0,1.0,0.0,0.0,0.0,0.11,0.0,100.0
Argentina,C. Romero,Defender,8.0,733.0,7.6,1.0,1.0,3.0,1.0,507.0,2.0,67.79,0.0,0.0,27.0,10.0,5.0,46.0,0.0,0.0,0.0,0.12,0.12,3.32,0.0,74.19
Argentina,N. Pérez,Defender,1.0,90.0,7.7,0.0,0.0,0.0,0.0,79.0,1.0,69.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,75.0
Argentina,Lisandro Martínez,Defender,7.0,648.0,7.26,1.0,0.0,4.0,2.0,404.0,2.0,63.75,1.0,1.0,6.0,6.0,3.0,14.0,0.0,0.0,0.0,0.14,0.0,0.83,100.0,53.85
Argentina,N. Tagliafico,Defender,8.0,594.0,7.06,0.0,0.0,2.0,1.0,291.0,4.0,12.77,6.0,2.0,7.0,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,1.06,33.33,54.76
Argentina,Á. Di María,Midfielder,9.0,613.0,7.87,2.0,2.0,12.0,8.0,284.0,16.0,26.89,22.0,13.0,6.0,0.0,0.0,27.0,0.0,0.0,0.0,0.29,0.29,0.88,59.09,51.92
